from,to,weight,season
Mainz,1,50,2021
Nuernberg,33,3,2019
Stuttgart_2,42,,2021
London,5,30,2022
Hannover,2,40,2020
Iwata,37,4,2022
Zagreb,24,60,2018
Freiburg,15,13,2020
Hamburg,23,,2018
Sint-Truiden,3,17,2020
Kiel,16,8,2019
Turin,32,15,2021
London ,6,4,2020
Monaco,8,18,2021
Sandhausen,28,,2021
Paris,14,80,2019
Bielefeld,30,,2018
Düsseldorf,11,,2019
Sandhausen,20,30,2019
Cordoba,31,17,2019
Stuttgart,25,,2020
Istanbul,34,,2021
Wolfsburg,10,,2018
Paris,7,,2019
Paderborn ,22,25,2021
Wien,9,18,2019
Lissabon,18,5,2021
Wolfsburg,17,,2021
Vejle,19,50,2021
Stuttgart,50,,2021
Stuttgart_2,44,,2021
1,Deutschland,,
33,Deutschland,,
42,Deutschland,,
5,Griechenland,,
2,Deutschland,,
2,Usbekistan,,
37,Japan,,
24,Kroatien,,
24,Deutschland,,
15,Deutschland,,
23,Belgien,,
23,DR Kongo,,
3,Japan,,
16,Deutschland,,
32,Frankreich,,
32,Komoren,,
6,England,,
6,DR Kongo,,
8,Frankreich,,
8,Martinique,,
28,Daenemark,,
28,Ghana,,
14,DR Kongo,,
30,Deutschland,,
30,Italien,,
11,Deutschland,,
20,Deutschland,,
31,Deutschland,,
31,Argentinien,,
25,Deutschland,,
34,Tuerkei,,
10,Deutschland,,
10,Benin,,
7,Frankreich,,
7,Elfenbeinküste,,
22,Deutschland,,
9,Oesterreich ,,
9,Serbien,,
18,Portugal,,
17,Aegypten,,
17,Kanada,,
19,Daenemark,,
19,Afghanistan,,
50,Frankreich,,
50,Kamerun,,
44,Niederlande,,
44,Sierra Leone,,